2022-02-09 15:55:34,811 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404134.780292, 'user': {'account_name': 'ME'}}
2022-02-09 15:55:34,811 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404134.780292, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:55:34,811 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404134.780292, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50791)>), {}).Вызов произведён из функции main()
2022-02-09 15:55:34,874 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50793)
2022-02-09 15:55:34,874 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404134.8115277, 'user': {'account_name': 'ME'}}
2022-02-09 15:55:34,874 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404134.8115277, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:55:34,874 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404134.8115277, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50792)>), {}).Вызов произведён из функции main()
2022-02-09 15:55:35,389 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644404134.8740203, 'user': {'account_name': 'ME'}}
2022-02-09 15:55:35,389 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644404134.8740203, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:55:35,389 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644404134.8740203, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=348, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50793)>), {}).Вызов произведён из функции main()
2022-02-09 15:55:54,687 DEBUG      server.py              Сообщение от клиента {'action': 'message', 'time': 1644404154.375249, 'account_name': 'ME', 'message text': 'hello'}
2022-02-09 15:55:54,687 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'message', 'time': 1644404154.375249, 'account_name': 'ME', 'message text': 'hello'}, [('ME', 'hello')], <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50791)>), {}).Вызов произведён из функции main()
2022-02-09 15:56:03,305 DEBUG      server.py              Сообщение от клиента {'action': 'message', 'time': 1644404162.9459186, 'account_name': 'ME', 'message text': 'hello'}
2022-02-09 15:56:03,305 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'message', 'time': 1644404162.9459186, 'account_name': 'ME', 'message text': 'hello'}, [('ME', 'hello')], <socket.socket fd=460, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50790)>), {}).Вызов произведён из функции main()
2022-02-09 15:56:10,418 DEBUG      server.py              Сообщение от клиента {'action': 'message', 'time': 1644404170.1680164, 'account_name': 'ME', 'message text': 'bye'}
2022-02-09 15:56:10,418 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'message', 'time': 1644404170.1680164, 'account_name': 'ME', 'message text': 'bye'}, [('ME', 'bye')], <socket.socket fd=460, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50790)>), {}).Вызов произведён из функции main()
2022-02-09 15:56:16,501 DEBUG      server.py              Сообщение от клиента {'action': 'message', 'time': 1644404176.2975497, 'account_name': 'ME', 'message text': '!!!'}
2022-02-09 15:56:16,501 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'message', 'time': 1644404176.2975497, 'account_name': 'ME', 'message text': '!!!'}, [('ME', '!!!')], <socket.socket fd=460, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50790)>), {}).Вызов произведён из функции main()
2022-02-09 15:56:26,678 DEBUG      server.py              Сообщение от клиента {'action': 'message', 'time': 1644404186.5538886, 'account_name': 'ME', 'message text': 'g'}
2022-02-09 15:56:26,678 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'message', 'time': 1644404186.5538886, 'account_name': 'ME', 'message text': 'g'}, [('ME', 'g')], <socket.socket fd=460, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50790)>), {}).Вызов произведён из функции main()
2022-02-09 15:58:09,723 DEBUG      server.py              Сервер с адресом  и портом 7777 запущен.
2022-02-09 15:58:09,770 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 51150)
2022-02-09 15:58:09,833 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 51151)
